 -0.18796E-02   0.0000       0.0000       0.0000       0.0000       0.0000    
 -0.18796E-02 -0.14368E-06  0.16228E-06   0.0000       0.0000       0.0000    
 -0.18797E-02 -0.43104E-06  0.48683E-06   0.0000       0.0000       0.0000    
 -0.18797E-02 -0.71841E-06  0.81139E-06   0.0000       0.0000       0.0000    
 -0.18797E-02 -0.10058E-05  0.11359E-05   0.0000       0.0000       0.0000    
 -0.18797E-02 -0.12932E-05  0.14605E-05   0.0000       0.0000       0.0000    
 -0.18798E-02 -0.15805E-05  0.17851E-05   0.0000       0.0000       0.0000    
 -0.18798E-02 -0.18680E-05  0.21096E-05   0.0000       0.0000       0.0000    
 -0.18798E-02 -0.21554E-05  0.24341E-05   0.0000       0.0000       0.0000    
 -0.18799E-02 -0.24429E-05  0.27587E-05   0.0000       0.0000       0.0000    
 -0.18800E-02 -0.27304E-05  0.30832E-05   0.0000       0.0000       0.0000    
 -0.18800E-02 -0.30179E-05  0.34077E-05   0.0000       0.0000       0.0000    
 -0.18801E-02 -0.33055E-05  0.37321E-05   0.0000       0.0000       0.0000    
 -0.18802E-02 -0.35931E-05  0.40566E-05   0.0000       0.0000       0.0000    
 -0.18803E-02 -0.38808E-05  0.43810E-05   0.0000       0.0000       0.0000    
 -0.18804E-02 -0.41686E-05  0.47054E-05   0.0000       0.0000       0.0000    
 -0.18805E-02 -0.44564E-05  0.50298E-05   0.0000       0.0000       0.0000    
 -0.18806E-02 -0.47443E-05  0.53542E-05   0.0000       0.0000       0.0000    
 -0.18807E-02 -0.50322E-05  0.56785E-05   0.0000       0.0000       0.0000    
 -0.18809E-02 -0.53202E-05  0.60028E-05   0.0000       0.0000       0.0000    
 -0.18810E-02 -0.56084E-05  0.63271E-05   0.0000       0.0000       0.0000    
 -0.18811E-02 -0.58966E-05  0.66513E-05   0.0000       0.0000       0.0000    
 -0.18813E-02 -0.61849E-05  0.69755E-05   0.0000       0.0000       0.0000    
 -0.18814E-02 -0.64732E-05  0.72996E-05   0.0000       0.0000       0.0000    
 -0.18816E-02 -0.67617E-05  0.76237E-05   0.0000       0.0000       0.0000    
 -0.18818E-02 -0.70503E-05  0.79477E-05   0.0000       0.0000       0.0000    
 -0.18819E-02 -0.73390E-05  0.82717E-05   0.0000       0.0000       0.0000    
 -0.18821E-02 -0.76279E-05  0.85957E-05   0.0000       0.0000       0.0000    
 -0.18823E-02 -0.79168E-05  0.89196E-05   0.0000       0.0000       0.0000    
 -0.18825E-02 -0.82059E-05  0.92434E-05   0.0000       0.0000       0.0000    
 -0.18827E-02 -0.84951E-05  0.95672E-05   0.0000       0.0000       0.0000    
 -0.18829E-02 -0.87844E-05  0.98909E-05   0.0000       0.0000       0.0000    
 -0.18832E-02 -0.90739E-05  0.10215E-04   0.0000       0.0000       0.0000    
 -0.18834E-02 -0.93635E-05  0.10538E-04   0.0000       0.0000       0.0000    
 -0.18836E-02 -0.96533E-05  0.10862E-04   0.0000       0.0000       0.0000    
 -0.18839E-02 -0.99432E-05  0.11185E-04   0.0000       0.0000       0.0000    
 -0.18841E-02 -0.10233E-04  0.11509E-04   0.0000       0.0000       0.0000    
 -0.18844E-02 -0.10524E-04  0.11832E-04   0.0000       0.0000       0.0000    
 -0.18846E-02 -0.10814E-04  0.12155E-04   0.0000       0.0000       0.0000    
 -0.18849E-02 -0.11105E-04  0.12478E-04   0.0000       0.0000       0.0000    
 -0.18852E-02 -0.11395E-04  0.12801E-04   0.0000       0.0000       0.0000    
 -0.18855E-02 -0.11686E-04  0.13124E-04   0.0000       0.0000       0.0000    
 -0.18857E-02 -0.11977E-04  0.13447E-04   0.0000       0.0000       0.0000    
 -0.18860E-02 -0.12269E-04  0.13770E-04   0.0000       0.0000       0.0000    
 -0.18864E-02 -0.12560E-04  0.14093E-04   0.0000       0.0000       0.0000    
 -0.18867E-02 -0.12852E-04  0.14415E-04   0.0000       0.0000       0.0000    
 -0.18870E-02 -0.13144E-04  0.14738E-04   0.0000       0.0000       0.0000    
 -0.18873E-02 -0.13436E-04  0.15060E-04   0.0000       0.0000       0.0000    
 -0.18876E-02 -0.13729E-04  0.15383E-04   0.0000       0.0000       0.0000    
 -0.18880E-02 -0.14021E-04  0.15705E-04   0.0000       0.0000       0.0000    
 -0.18883E-02 -0.14314E-04  0.16027E-04   0.0000       0.0000       0.0000    
 -0.18887E-02 -0.14607E-04  0.16349E-04   0.0000       0.0000       0.0000    
 -0.18891E-02 -0.14900E-04  0.16671E-04   0.0000       0.0000       0.0000    
 -0.18894E-02 -0.15194E-04  0.16993E-04   0.0000       0.0000       0.0000    
 -0.18898E-02 -0.15488E-04  0.17315E-04   0.0000       0.0000       0.0000    
 -0.18902E-02 -0.15782E-04  0.17636E-04   0.0000       0.0000       0.0000    
 -0.18906E-02 -0.16076E-04  0.17958E-04   0.0000       0.0000       0.0000    
 -0.18910E-02 -0.16371E-04  0.18279E-04   0.0000       0.0000       0.0000    
 -0.18914E-02 -0.16665E-04  0.18601E-04   0.0000       0.0000       0.0000    
 -0.18918E-02 -0.16961E-04  0.18922E-04   0.0000       0.0000       0.0000    
 -0.18922E-02 -0.17256E-04  0.19243E-04   0.0000       0.0000       0.0000    
 -0.18927E-02 -0.17552E-04  0.19564E-04   0.0000       0.0000       0.0000    
 -0.18931E-02 -0.17848E-04  0.19884E-04   0.0000       0.0000       0.0000    
 -0.18935E-02 -0.18144E-04  0.20205E-04   0.0000       0.0000       0.0000    
 -0.18940E-02 -0.18440E-04  0.20526E-04   0.0000       0.0000       0.0000    
 -0.18944E-02 -0.18737E-04  0.20846E-04   0.0000       0.0000       0.0000    
 -0.18949E-02 -0.19034E-04  0.21166E-04   0.0000       0.0000       0.0000    
 -0.18954E-02 -0.19332E-04  0.21486E-04   0.0000       0.0000       0.0000    
 -0.18959E-02 -0.19630E-04  0.21806E-04   0.0000       0.0000       0.0000    
 -0.18964E-02 -0.19928E-04  0.22126E-04   0.0000       0.0000       0.0000    
 -0.18969E-02 -0.20226E-04  0.22446E-04   0.0000       0.0000       0.0000    
 -0.18974E-02 -0.20525E-04  0.22765E-04   0.0000       0.0000       0.0000    
 -0.18979E-02 -0.20824E-04  0.23085E-04   0.0000       0.0000       0.0000    
 -0.18984E-02 -0.21124E-04  0.23404E-04   0.0000       0.0000       0.0000    
 -0.18989E-02 -0.21423E-04  0.23723E-04   0.0000       0.0000       0.0000    
 -0.18994E-02 -0.21724E-04  0.24042E-04   0.0000       0.0000       0.0000    
 -0.19000E-02 -0.22024E-04  0.24360E-04   0.0000       0.0000       0.0000    
 -0.19005E-02 -0.22325E-04  0.24679E-04   0.0000       0.0000       0.0000    
 -0.19011E-02 -0.22626E-04  0.24997E-04   0.0000       0.0000       0.0000    
 -0.19016E-02 -0.22928E-04  0.25316E-04   0.0000       0.0000       0.0000    
 -0.19022E-02 -0.23230E-04  0.25634E-04   0.0000       0.0000       0.0000    
 -0.19028E-02 -0.23532E-04  0.25952E-04   0.0000       0.0000       0.0000    
 -0.19034E-02 -0.23835E-04  0.26269E-04   0.0000       0.0000       0.0000    
 -0.19040E-02 -0.24138E-04  0.26587E-04   0.0000       0.0000       0.0000    
 -0.19046E-02 -0.24442E-04  0.26904E-04   0.0000       0.0000       0.0000    
 -0.19052E-02 -0.24746E-04  0.27222E-04   0.0000       0.0000       0.0000    
 -0.19058E-02 -0.25050E-04  0.27539E-04   0.0000       0.0000       0.0000    
 -0.19064E-02 -0.25355E-04  0.27855E-04   0.0000       0.0000       0.0000    
 -0.19070E-02 -0.25660E-04  0.28172E-04   0.0000       0.0000       0.0000    
 -0.19077E-02 -0.25966E-04  0.28488E-04   0.0000       0.0000       0.0000    
 -0.19083E-02 -0.26272E-04  0.28805E-04   0.0000       0.0000       0.0000    
 -0.19090E-02 -0.26578E-04  0.29121E-04   0.0000       0.0000       0.0000    
 -0.19096E-02 -0.26885E-04  0.29437E-04   0.0000       0.0000       0.0000    
 -0.19103E-02 -0.27193E-04  0.29752E-04   0.0000       0.0000       0.0000    
 -0.19110E-02 -0.27501E-04  0.30068E-04   0.0000       0.0000       0.0000    
 -0.19117E-02 -0.27809E-04  0.30383E-04   0.0000       0.0000       0.0000    
 -0.19124E-02 -0.28118E-04  0.30698E-04   0.0000       0.0000       0.0000    
 -0.19131E-02 -0.28427E-04  0.31013E-04   0.0000       0.0000       0.0000    
 -0.19138E-02 -0.28737E-04  0.31328E-04   0.0000       0.0000       0.0000    
 -0.19145E-02 -0.29047E-04  0.31642E-04   0.0000       0.0000       0.0000    
 -0.19152E-02 -0.29358E-04  0.31957E-04   0.0000       0.0000       0.0000    
 -0.19159E-02 -0.29669E-04  0.32271E-04   0.0000       0.0000       0.0000    
 -0.19167E-02 -0.29981E-04  0.32585E-04   0.0000       0.0000       0.0000    
 -0.19174E-02 -0.30293E-04  0.32898E-04   0.0000       0.0000       0.0000    
 -0.19182E-02 -0.30606E-04  0.33212E-04   0.0000       0.0000       0.0000    
 -0.19189E-02 -0.30919E-04  0.33525E-04   0.0000       0.0000       0.0000    
 -0.19197E-02 -0.31232E-04  0.33838E-04   0.0000       0.0000       0.0000    
 -0.19205E-02 -0.31547E-04  0.34151E-04   0.0000       0.0000       0.0000    
 -0.19213E-02 -0.31862E-04  0.34464E-04   0.0000       0.0000       0.0000    
 -0.19221E-02 -0.32177E-04  0.34777E-04   0.0000       0.0000       0.0000    
 -0.19229E-02 -0.32493E-04  0.35090E-04   0.0000       0.0000       0.0000    
 -0.19237E-02 -0.32809E-04  0.35402E-04   0.0000       0.0000       0.0000    
