time_utc,amp_m
2026-04-01 12:00:00,-0.00088787
2026-04-01 12:01:00,-0.0008872
2026-04-01 12:02:00,-0.00088511
2026-04-01 12:03:00,-0.00088339
2026-04-01 12:04:00,-0.00089473
2026-04-01 12:05:00,-0.00088229
2026-04-01 12:06:00,-0.00056675
2026-04-01 12:07:00,-0.00056728
2026-04-01 12:08:00,-0.00055822
2026-04-01 12:09:00,-0.00061317
2026-04-01 12:10:00,-0.00060528
2026-04-01 12:11:00,-0.00062269
2026-04-01 12:12:00,-0.00065188
2026-04-01 12:13:00,-0.00066354
2026-04-01 12:14:00,-0.00064556
2026-04-01 12:15:00,-0.00043247
2026-04-01 12:16:00,-0.0006063
2026-04-01 12:17:00,-0.00063922
2026-04-01 12:18:00,-0.00064413
2026-04-01 12:19:00,-0.00071111
2026-04-01 12:20:00,-0.00072959
2026-04-01 12:21:00,-0.00074464
2026-04-01 12:22:00,-0.00078792
2026-04-01 12:23:00,-0.00099257
2026-04-01 12:24:00,-0.00084676
2026-04-01 12:25:00,-0.00088107
2026-04-01 12:26:00,-0.00088994
2026-04-01 12:27:00,-0.00086292
2026-04-01 12:28:00,-0.00083597
2026-04-01 12:29:00,-0.00073353
2026-04-01 12:30:00,-0.00054969
2026-04-01 12:31:00,-0.00025543
2026-04-01 12:32:00,0.00037722
2026-04-01 12:33:00,0.001662
2026-04-01 12:34:00,0.0049575
2026-04-01 12:35:00,0.013224
2026-04-01 12:36:00,0.024633
2026-04-01 12:37:00,0.026209
2026-04-01 12:38:00,0.025027
2026-04-01 12:39:00,0.023303
2026-04-01 12:40:00,0.022188
2026-04-01 12:41:00,0.019709
2026-04-01 12:42:00,0.01727
2026-04-01 12:43:00,0.014585
2026-04-01 12:44:00,0.0026087
2026-04-01 12:45:00,-0.0058535
2026-04-01 12:46:00,-0.018878
2026-04-01 12:47:00,-0.024548
2026-04-01 12:48:00,-0.016017
2026-04-01 12:49:00,-0.013287
2026-04-01 12:50:00,-0.012837
2026-04-01 12:51:00,-0.010809
2026-04-01 12:52:00,-0.007252
2026-04-01 12:53:00,-0.0048026
2026-04-01 12:54:00,-0.0036435
2026-04-01 12:55:00,-0.0028021
2026-04-01 12:56:00,0.00013349
2026-04-01 12:57:00,-0.0012364
2026-04-01 12:58:00,0.00032425
2026-04-01 12:59:00,-0.0015237
2026-04-01 13:00:00,-0.00036746
2026-04-01 13:01:00,-0.00109
2026-04-01 13:02:00,0.0018619
2026-04-01 13:03:00,-0.00012332
2026-04-01 13:04:00,-8.151e-06
2026-04-01 13:05:00,-0.00039323
2026-04-01 13:06:00,-0.0014161
2026-04-01 13:07:00,-0.0002613
2026-04-01 13:08:00,0.00061969
2026-04-01 13:09:00,0.00040102
2026-04-01 13:10:00,0.00021543
2026-04-01 13:11:00,0.0037659
2026-04-01 13:12:00,0.0073948
2026-04-01 13:13:00,0.0092495
2026-04-01 13:14:00,0.0090592
2026-04-01 13:15:00,0.0089954
2026-04-01 13:16:00,0.0086052
2026-04-01 13:17:00,0.0078818
2026-04-01 13:18:00,0.0061144
2026-04-01 13:19:00,0.0044555
2026-04-01 13:20:00,0.0023063
2026-04-01 13:21:00,-3.2378e-05
2026-04-01 13:22:00,-0.0020467
2026-04-01 13:23:00,-0.0028059
2026-04-01 13:24:00,-0.0026431
2026-04-01 13:25:00,-0.0032648
2026-04-01 13:26:00,-0.0033594
2026-04-01 13:27:00,-0.0031953
2026-04-01 13:28:00,-0.0027498
2026-04-01 13:29:00,-0.0018709
2026-04-01 13:30:00,-0.0011029
2026-04-01 13:31:00,-0.0006841
2026-04-01 13:32:00,-0.00027766
2026-04-01 13:33:00,-8.777e-05
2026-04-01 13:34:00,-5.3855e-05
2026-04-01 13:35:00,0.00024305
2026-04-01 13:36:00,0.0003809
2026-04-01 13:37:00,0.00012097
2026-04-01 13:38:00,2.4744e-05
2026-04-01 13:39:00,-7.7955e-05
2026-04-01 13:40:00,-7.1568e-05
2026-04-01 13:41:00,4.3152e-05
2026-04-01 13:42:00,0.00024564
2026-04-01 13:43:00,-7.3833e-05
