time_utc,amp_m
2026-04-01 12:00:00,-0.002852
2026-04-01 12:01:00,-0.0028641
2026-04-01 12:02:00,-0.0029021
2026-04-01 12:03:00,-0.0029672
2026-04-01 12:04:00,-0.0030614
2026-04-01 12:05:00,-0.0031877
2026-04-01 12:06:00,-0.0033507
2026-04-01 12:07:00,-0.0035564
2026-04-01 12:08:00,-0.0038149
2026-04-01 12:09:00,-0.0041304
2026-04-01 12:10:00,-0.0045287
2026-04-01 12:11:00,-0.0050215
2026-04-01 12:12:00,-0.0056348
2026-04-01 12:13:00,-0.006394
2026-04-01 12:14:00,-0.0073179
2026-04-01 12:15:00,-0.008391
2026-04-01 12:16:00,-0.0095027
2026-04-01 12:17:00,-0.010335
2026-04-01 12:18:00,-0.010247
2026-04-01 12:19:00,-0.0083261
2026-04-01 12:20:00,-0.0038282
2026-04-01 12:21:00,0.0032861
2026-04-01 12:22:00,0.012365
2026-04-01 12:23:00,0.022681
2026-04-01 12:24:00,0.034572
2026-04-01 12:25:00,0.047384
2026-04-01 12:26:00,0.04789
2026-04-01 12:27:00,0.031952
2026-04-01 12:28:00,0.026594
2026-04-01 12:29:00,0.02102
2026-04-01 12:30:00,0.017282
2026-04-01 12:31:00,0.013643
2026-04-01 12:32:00,0.008587
2026-04-01 12:33:00,0.00052117
2026-04-01 12:34:00,-0.012027
2026-04-01 12:35:00,-0.026029
2026-04-01 12:36:00,-0.029197
2026-04-01 12:37:00,-0.018222
2026-04-01 12:38:00,-0.014628
2026-04-01 12:39:00,-0.010624
2026-04-01 12:40:00,-0.0090379
2026-04-01 12:41:00,-0.0073057
2026-04-01 12:42:00,-0.0059283
2026-04-01 12:43:00,-0.0050086
2026-04-01 12:44:00,-0.0042637
2026-04-01 12:45:00,-0.0034441
2026-04-01 12:46:00,-0.0026684
2026-04-01 12:47:00,-0.0021704
2026-04-01 12:48:00,-0.0012349
2026-04-01 12:49:00,-0.00052477
2026-04-01 12:50:00,0.00076368
2026-04-01 12:51:00,0.0022154
2026-04-01 12:52:00,0.0032022
2026-04-01 12:53:00,0.0042009
2026-04-01 12:54:00,0.005381
2026-04-01 12:55:00,0.0051198
2026-04-01 12:56:00,0.0034286
2026-04-01 12:57:00,0.0045
2026-04-01 12:58:00,0.0033931
2026-04-01 12:59:00,0.0034797
2026-04-01 13:00:00,0.0028487
2026-04-01 13:01:00,0.0021298
2026-04-01 13:02:00,0.001515
2026-04-01 13:03:00,0.00092934
2026-04-01 13:04:00,0.00038932
2026-04-01 13:05:00,-2.9772e-05
2026-04-01 13:06:00,-0.00048978
2026-04-01 13:07:00,-0.00044288
2026-04-01 13:08:00,-0.00061276
2026-04-01 13:09:00,-0.0009559
2026-04-01 13:10:00,-0.0009424
2026-04-01 13:11:00,-0.0015317
2026-04-01 13:12:00,-0.0014344
2026-04-01 13:13:00,-0.0020014
2026-04-01 13:14:00,-0.00087938
2026-04-01 13:15:00,-0.0010753
2026-04-01 13:16:00,0.00016683
2026-04-01 13:17:00,-0.0015998
2026-04-01 13:18:00,-0.00058403
2026-04-01 13:19:00,-0.00054044
2026-04-01 13:20:00,0.0010858
2026-04-01 13:21:00,0.0025851
2026-04-01 13:22:00,0.0074358
2026-04-01 13:23:00,0.0158
2026-04-01 13:24:00,0.021316
2026-04-01 13:25:00,0.018119
2026-04-01 13:26:00,0.014533
2026-04-01 13:27:00,0.011023
2026-04-01 13:28:00,0.007053
2026-04-01 13:29:00,0.0041793
2026-04-01 13:30:00,0.0014343
2026-04-01 13:31:00,0.00015551
2026-04-01 13:32:00,-0.001839
2026-04-01 13:33:00,-0.0061431
2026-04-01 13:34:00,-0.013761
2026-04-01 13:35:00,-0.019797
2026-04-01 13:36:00,-0.015107
2026-04-01 13:37:00,-0.0074915
2026-04-01 13:38:00,-0.0062167
2026-04-01 13:39:00,-0.0027392
2026-04-01 13:40:00,-0.0008336
2026-04-01 13:41:00,0.00038366
2026-04-01 13:42:00,0.0013563
2026-04-01 13:43:00,0.0015414
2026-04-01 13:44:00,0.0014839
2026-04-01 13:45:00,0.0026898
2026-04-01 13:46:00,0.0017659
2026-04-01 13:47:00,0.0030695
2026-04-01 13:48:00,0.0056519
2026-04-01 13:49:00,0.0069411
2026-04-01 13:50:00,0.01035
2026-04-01 13:51:00,0.012087
2026-04-01 13:52:00,0.014312
2026-04-01 13:53:00,0.017205
2026-04-01 13:54:00,0.018594
2026-04-01 13:55:00,0.018915
2026-04-01 13:56:00,0.017372
