time_utc,amp_m
2026-04-01 12:00:00,-0.00051612
2026-04-01 12:01:00,-0.0005217
2026-04-01 12:02:00,-0.00053913
2026-04-01 12:03:00,-0.00056875
2026-04-01 12:04:00,-0.00061095
2026-04-01 12:05:00,-0.00065138
2026-04-01 12:06:00,-0.00071933
2026-04-01 12:07:00,-0.00083387
2026-04-01 12:08:00,-0.00095247
2026-04-01 12:09:00,-0.0010442
2026-04-01 12:10:00,-0.0012149
2026-04-01 12:11:00,-0.0013939
2026-04-01 12:12:00,-0.0016108
2026-04-01 12:13:00,-0.0018761
2026-04-01 12:14:00,-0.002199
2026-04-01 12:15:00,-0.0025961
2026-04-01 12:16:00,-0.0030918
2026-04-01 12:17:00,-0.0037184
2026-04-01 12:18:00,-0.0045188
2026-04-01 12:19:00,-0.0055632
2026-04-01 12:20:00,-0.0069238
2026-04-01 12:21:00,-0.0087002
2026-04-01 12:22:00,-0.010962
2026-04-01 12:23:00,-0.013633
2026-04-01 12:24:00,-0.016118
2026-04-01 12:25:00,-0.017076
2026-04-01 12:26:00,-0.01475
2026-04-01 12:27:00,-0.0084139
2026-04-01 12:28:00,0.00084418
2026-04-01 12:29:00,0.011347
2026-04-01 12:30:00,0.022099
2026-04-01 12:31:00,0.033136
2026-04-01 12:32:00,0.046184
2026-04-01 12:33:00,0.060922
2026-04-01 12:34:00,0.059277
2026-04-01 12:35:00,0.036796
2026-04-01 12:36:00,0.027255
2026-04-01 12:37:00,0.012997
2026-04-01 12:38:00,0.0013802
2026-04-01 12:39:00,-0.010003
2026-04-01 12:40:00,-0.02084
2026-04-01 12:41:00,-0.021288
2026-04-01 12:42:00,-0.0062158
2026-04-01 12:43:00,-0.001231
2026-04-01 12:44:00,0.0015089
2026-04-01 12:45:00,-0.0040704
2026-04-01 12:46:00,-0.0026753
2026-04-01 12:47:00,-0.0024218
2026-04-01 12:48:00,0.0030276
2026-04-01 12:49:00,0.0037781
2026-04-01 12:50:00,0.0024061
2026-04-01 12:51:00,0.00084248
2026-04-01 12:52:00,0.001575
2026-04-01 12:53:00,2.0098e-05
2026-04-01 12:54:00,-0.0015535
2026-04-01 12:55:00,-0.00037055
2026-04-01 12:56:00,-0.0016556
2026-04-01 12:57:00,-0.0025814
2026-04-01 12:58:00,-0.0018725
2026-04-01 12:59:00,-0.0027909
2026-04-01 13:00:00,-0.0023998
2026-04-01 13:01:00,-0.0025223
2026-04-01 13:02:00,-0.0017155
2026-04-01 13:03:00,-0.0025209
2026-04-01 13:04:00,-0.0020382
2026-04-01 13:05:00,-0.0019304
2026-04-01 13:06:00,-0.0025206
2026-04-01 13:07:00,-0.0013388
2026-04-01 13:08:00,-0.0023745
2026-04-01 13:09:00,-0.0025735
2026-04-01 13:10:00,-0.0017791
2026-04-01 13:11:00,-0.0023485
2026-04-01 13:12:00,-0.0017898
2026-04-01 13:13:00,-0.0035718
2026-04-01 13:14:00,-0.0019095
2026-04-01 13:15:00,-0.0016819
2026-04-01 13:16:00,-0.0021384
2026-04-01 13:17:00,-0.0016932
2026-04-01 13:18:00,-0.001567
2026-04-01 13:19:00,-0.00085867
2026-04-01 13:20:00,0.0022775
2026-04-01 13:21:00,0.011279
2026-04-01 13:22:00,0.020696
2026-04-01 13:23:00,0.015512
2026-04-01 13:24:00,0.0048808
2026-04-01 13:25:00,0.0045858
2026-04-01 13:26:00,-0.00040558
2026-04-01 13:27:00,0.0010865
2026-04-01 13:28:00,-0.00012676
2026-04-01 13:29:00,-0.002351
2026-04-01 13:30:00,-0.0045203
2026-04-01 13:31:00,-0.0067954
2026-04-01 13:32:00,-0.0069524
2026-04-01 13:33:00,-0.0026679
2026-04-01 13:34:00,0.00042754
2026-04-01 13:35:00,0.0017013
2026-04-01 13:36:00,0.0015501
2026-04-01 13:37:00,0.00093928
2026-04-01 13:38:00,0.00046007
2026-04-01 13:39:00,-0.00025368
2026-04-01 13:40:00,-0.00022016
2026-04-01 13:41:00,-0.00025055
2026-04-01 13:42:00,-0.00060587
2026-04-01 13:43:00,0.0001025
2026-04-01 13:44:00,-0.00093361
2026-04-01 13:45:00,-0.00088947
2026-04-01 13:46:00,-0.00018325
2026-04-01 13:47:00,-0.00072627
2026-04-01 13:48:00,-0.00096022
2026-04-01 13:49:00,-0.0011471
2026-04-01 13:50:00,-0.00047213
2026-04-01 13:51:00,-0.0010794
2026-04-01 13:52:00,-0.0016055
2026-04-01 13:53:00,-0.0014764
2026-04-01 13:54:00,-0.00063922
2026-04-01 13:55:00,-0.00073063
2026-04-01 13:56:00,-0.0019213
2026-04-01 13:57:00,-0.00026279
2026-04-01 13:58:00,-7.2307e-05
2026-04-01 13:59:00,0.00078416
2026-04-01 14:00:00,0.0017954
2026-04-01 14:01:00,0.0040064
2026-04-01 14:02:00,0.0066556
2026-04-01 14:03:00,0.0087298
2026-04-01 14:04:00,0.012512
2026-04-01 14:05:00,0.013568
2026-04-01 14:06:00,0.016588
2026-04-01 14:07:00,0.016975
2026-04-01 14:08:00,0.016018
2026-04-01 14:09:00,0.014239
2026-04-01 14:10:00,0.010357
2026-04-01 14:11:00,0.0050594
2026-04-01 14:12:00,-0.0017691
2026-04-01 14:13:00,-0.0089545
2026-04-01 14:14:00,-0.015114
2026-04-01 14:15:00,-0.017323
2026-04-01 14:16:00,-0.018086
2026-04-01 14:17:00,-0.015467
2026-04-01 14:18:00,-0.013497
2026-04-01 14:19:00,-0.011954
2026-04-01 14:20:00,-0.011182
2026-04-01 14:21:00,-0.0074293
2026-04-01 14:22:00,-0.0013389
2026-04-01 14:23:00,0.0053736
2026-04-01 14:24:00,0.0073465
2026-04-01 14:25:00,0.0068332
2026-04-01 14:26:00,0.0032046
2026-04-01 14:27:00,-0.011244
2026-04-01 14:28:00,-0.015133
2026-04-01 14:29:00,0.0006357
2026-04-01 14:30:00,0.004051
2026-04-01 14:31:00,0.0012417
2026-04-01 14:32:00,-0.0040531
2026-04-01 14:33:00,-0.010795
2026-04-01 14:34:00,-0.0094102
