 -0.11353E-02   0.0000       0.0000       0.0000       0.0000       0.0000    
 -0.11353E-02 -0.86971E-07 -0.10750E-07   0.0000       0.0000       0.0000    
 -0.11353E-02 -0.26091E-06 -0.32246E-07   0.0000       0.0000       0.0000    
 -0.11353E-02 -0.43485E-06 -0.53738E-07   0.0000       0.0000       0.0000    
 -0.11353E-02 -0.60879E-06 -0.75225E-07   0.0000       0.0000       0.0000    
 -0.11353E-02 -0.78273E-06 -0.96709E-07   0.0000       0.0000       0.0000    
 -0.11353E-02 -0.95667E-06 -0.11819E-06   0.0000       0.0000       0.0000    
 -0.11353E-02 -0.11306E-05 -0.13967E-06   0.0000       0.0000       0.0000    
 -0.11352E-02 -0.13045E-05 -0.16114E-06   0.0000       0.0000       0.0000    
 -0.11352E-02 -0.14785E-05 -0.18262E-06   0.0000       0.0000       0.0000    
 -0.11352E-02 -0.16524E-05 -0.20409E-06   0.0000       0.0000       0.0000    
 -0.11352E-02 -0.18263E-05 -0.22557E-06   0.0000       0.0000       0.0000    
 -0.11351E-02 -0.20002E-05 -0.24704E-06   0.0000       0.0000       0.0000    
 -0.11351E-02 -0.21741E-05 -0.26852E-06   0.0000       0.0000       0.0000    
 -0.11351E-02 -0.23480E-05 -0.28999E-06   0.0000       0.0000       0.0000    
 -0.11351E-02 -0.25219E-05 -0.31147E-06   0.0000       0.0000       0.0000    
 -0.11350E-02 -0.26958E-05 -0.33295E-06   0.0000       0.0000       0.0000    
 -0.11350E-02 -0.28697E-05 -0.35444E-06   0.0000       0.0000       0.0000    
 -0.11349E-02 -0.30436E-05 -0.37593E-06   0.0000       0.0000       0.0000    
 -0.11349E-02 -0.32174E-05 -0.39742E-06   0.0000       0.0000       0.0000    
 -0.11348E-02 -0.33913E-05 -0.41892E-06   0.0000       0.0000       0.0000    
 -0.11348E-02 -0.35651E-05 -0.44043E-06   0.0000       0.0000       0.0000    
 -0.11348E-02 -0.37389E-05 -0.46194E-06   0.0000       0.0000       0.0000    
 -0.11347E-02 -0.39127E-05 -0.48346E-06   0.0000       0.0000       0.0000    
