time_utc,amp_m
2026-04-01 12:00:00,-0.02156
2026-04-01 12:01:00,-0.021675
2026-04-01 12:02:00,-0.022038
2026-04-01 12:03:00,-0.022662
2026-04-01 12:04:00,-0.023571
2026-04-01 12:05:00,-0.024803
2026-04-01 12:06:00,-0.026412
2026-04-01 12:07:00,-0.028463
2026-04-01 12:08:00,-0.031082
2026-04-01 12:09:00,-0.034338
2026-04-01 12:10:00,-0.038423
2026-04-01 12:11:00,-0.043444
2026-04-01 12:12:00,-0.049403
2026-04-01 12:13:00,-0.055945
2026-04-01 12:14:00,-0.061934
2026-04-01 12:15:00,-0.064855
2026-04-01 12:16:00,-0.060927
2026-04-01 12:17:00,-0.047272
2026-04-01 12:18:00,-0.024127
2026-04-01 12:19:00,0.005215
2026-04-01 12:20:00,0.037557
2026-04-01 12:21:00,0.074268
2026-04-01 12:22:00,0.12206
2026-04-01 12:23:00,0.15144
2026-04-01 12:24:00,0.10522
2026-04-01 12:25:00,0.095918
2026-04-01 12:26:00,0.10232
2026-04-01 12:27:00,0.12013
2026-04-01 12:28:00,0.13929
2026-04-01 12:29:00,0.15788
2026-04-01 12:30:00,0.17929
2026-04-01 12:31:00,0.19358
2026-04-01 12:32:00,0.1225
2026-04-01 12:33:00,0.047045
2026-04-01 12:34:00,0.035343
2026-04-01 12:35:00,0.0126
2026-04-01 12:36:00,-0.0087314
2026-04-01 12:37:00,-0.030263
2026-04-01 12:38:00,-0.037353
2026-04-01 12:39:00,-0.010612
2026-04-01 12:40:00,0.0052344
2026-04-01 12:41:00,0.0076233
2026-04-01 12:42:00,-0.011172
2026-04-01 12:43:00,-0.055229
2026-04-01 12:44:00,-0.082719
2026-04-01 12:45:00,-0.073958
2026-04-01 12:46:00,-0.038518
2026-04-01 12:47:00,-0.034942
2026-04-01 12:48:00,-0.0095207
2026-04-01 12:49:00,0.0041375
2026-04-01 12:50:00,0.018859
2026-04-01 12:51:00,0.019031
2026-04-01 12:52:00,0.016995
2026-04-01 12:53:00,0.0030823
2026-04-01 12:54:00,-0.0038211
2026-04-01 12:55:00,-0.020796
2026-04-01 12:56:00,-0.011788
2026-04-01 12:57:00,0.0033115
2026-04-01 12:58:00,0.0083888
2026-04-01 12:59:00,0.0098272
2026-04-01 13:00:00,0.0038154
2026-04-01 13:01:00,0.0049459
2026-04-01 13:02:00,0.0073341
2026-04-01 13:03:00,0.0065928
2026-04-01 13:04:00,0.0053294
2026-04-01 13:05:00,0.00048223
2026-04-01 13:06:00,-0.001523
2026-04-01 13:07:00,-0.0027516
2026-04-01 13:08:00,-0.0016653
2026-04-01 13:09:00,-0.0064848
2026-04-01 13:10:00,-0.0088531
2026-04-01 13:11:00,-0.0090991
2026-04-01 13:12:00,-0.0097341
2026-04-01 13:13:00,-0.013274
2026-04-01 13:14:00,-0.011981
2026-04-01 13:15:00,-0.011107
2026-04-01 13:16:00,-0.010687
2026-04-01 13:17:00,-0.0088045
2026-04-01 13:18:00,-0.0046823
2026-04-01 13:19:00,0.0057353
2026-04-01 13:20:00,0.03089
2026-04-01 13:21:00,0.071362
2026-04-01 13:22:00,0.099199
2026-04-01 13:23:00,0.10325
2026-04-01 13:24:00,0.083845
2026-04-01 13:25:00,0.060845
2026-04-01 13:26:00,0.040781
2026-04-01 13:27:00,0.026947
2026-04-01 13:28:00,0.013817
2026-04-01 13:29:00,0.0060041
2026-04-01 13:30:00,-0.010327
2026-04-01 13:31:00,-0.029476
2026-04-01 13:32:00,-0.025589
2026-04-01 13:33:00,-0.032411
2026-04-01 13:34:00,-0.04326
2026-04-01 13:35:00,-0.033728
2026-04-01 13:36:00,-0.020586
2026-04-01 13:37:00,-0.011023
2026-04-01 13:38:00,-0.0042192
2026-04-01 13:39:00,-0.0016495
2026-04-01 13:40:00,-0.0016217
2026-04-01 13:41:00,-0.0048255
2026-04-01 13:42:00,-0.0057222
2026-04-01 13:43:00,-0.0091919
2026-04-01 13:44:00,-0.020044
2026-04-01 13:45:00,-0.016482
2026-04-01 13:46:00,-0.0062799
2026-04-01 13:47:00,0.00085883
2026-04-01 13:48:00,0.01651
2026-04-01 13:49:00,0.029888
2026-04-01 13:50:00,0.045504
2026-04-01 13:51:00,0.061626
2026-04-01 13:52:00,0.078533
2026-04-01 13:53:00,0.084673
2026-04-01 13:54:00,0.094177
2026-04-01 13:55:00,0.096697
2026-04-01 13:56:00,0.088842
2026-04-01 13:57:00,0.082816
2026-04-01 13:58:00,0.06664
2026-04-01 13:59:00,0.047405
2026-04-01 14:00:00,0.023518
2026-04-01 14:01:00,0.003362
2026-04-01 14:02:00,-0.012326
2026-04-01 14:03:00,-0.021537
2026-04-01 14:04:00,-0.028288
2026-04-01 14:05:00,-0.035056
2026-04-01 14:06:00,-0.043006
2026-04-01 14:07:00,-0.048364
2026-04-01 14:08:00,-0.050481
2026-04-01 14:09:00,-0.051267
2026-04-01 14:10:00,-0.050746
2026-04-01 14:11:00,-0.049067
2026-04-01 14:12:00,-0.040384
2026-04-01 14:13:00,-0.012566
2026-04-01 14:14:00,-0.011553
2026-04-01 14:15:00,-0.11799
2026-04-01 14:16:00,-0.12276
2026-04-01 14:17:00,-0.079415
2026-04-01 14:18:00,-0.057942
2026-04-01 14:19:00,-0.042346
2026-04-01 14:20:00,-0.017578
2026-04-01 14:21:00,-0.0059795
2026-04-01 14:22:00,-0.0061319
2026-04-01 14:23:00,0.0063255
2026-04-01 14:24:00,0.057916
2026-04-01 14:25:00,0.065177
2026-04-01 14:26:00,0.00084253
2026-04-01 14:27:00,-0.007408
2026-04-01 14:28:00,-0.024986
2026-04-01 14:29:00,-0.012464
2026-04-01 14:30:00,0.031105
2026-04-01 14:31:00,0.041012
2026-04-01 14:32:00,0.017984
2026-04-01 14:33:00,0.0073114
2026-04-01 14:34:00,0.0030211
2026-04-01 14:35:00,0.0093455
2026-04-01 14:36:00,-0.0040955
2026-04-01 14:37:00,-0.011206
2026-04-01 14:38:00,-0.016557
2026-04-01 14:39:00,-0.036204
2026-04-01 14:40:00,-0.032008
2026-04-01 14:41:00,-0.008411
2026-04-01 14:42:00,-0.013721
2026-04-01 14:43:00,-0.016948
2026-04-01 14:44:00,-0.02084
2026-04-01 14:45:00,-0.0078811
2026-04-01 14:46:00,-0.011708
2026-04-01 14:47:00,-0.014281
2026-04-01 14:48:00,-0.019433
2026-04-01 14:49:00,-0.012758
2026-04-01 14:50:00,-0.013016
2026-04-01 14:51:00,-0.0095584
2026-04-01 14:52:00,0.014304
2026-04-01 14:53:00,0.015682
2026-04-01 14:54:00,0.0035572
2026-04-01 14:55:00,0.00062688
2026-04-01 14:56:00,-0.0078778
2026-04-01 14:57:00,-0.0011614
2026-04-01 14:58:00,0.0067641
2026-04-01 14:59:00,0.0037648
2026-04-01 15:00:00,7.6663e-05
