time_utc,amp_m
2026-04-01 12:00:00,-0.014534
2026-04-01 12:01:00,-0.014521
2026-04-01 12:02:00,-0.014482
2026-04-01 12:03:00,-0.014422
2026-04-01 12:04:00,-0.014378
2026-04-01 12:05:00,-0.014204
2026-04-01 12:06:00,-0.0089388
2026-04-01 12:07:00,-0.0089519
2026-04-01 12:08:00,-0.008796
2026-04-01 12:09:00,-0.0097023
2026-04-01 12:10:00,-0.0095685
2026-04-01 12:11:00,-0.0098287
2026-04-01 12:12:00,-0.010253
2026-04-01 12:13:00,-0.010364
2026-04-01 12:14:00,-0.010289
2026-04-01 12:15:00,-0.0095913
2026-04-01 12:16:00,-0.0099887
2026-04-01 12:17:00,-0.0095835
2026-04-01 12:18:00,-0.0083873
2026-04-01 12:19:00,-0.006024
2026-04-01 12:20:00,-0.00022357
2026-04-01 12:21:00,0.014682
2026-04-01 12:22:00,0.054971
2026-04-01 12:23:00,0.11721
2026-04-01 12:24:00,0.1228
2026-04-01 12:25:00,0.1663
2026-04-01 12:26:00,0.17431
2026-04-01 12:27:00,0.15299
2026-04-01 12:28:00,0.12845
2026-04-01 12:29:00,0.11748
2026-04-01 12:30:00,0.10839
2026-04-01 12:31:00,0.092385
2026-04-01 12:32:00,0.063058
2026-04-01 12:33:00,0.017642
2026-04-01 12:34:00,-0.011335
2026-04-01 12:35:00,-0.025163
2026-04-01 12:36:00,-0.055939
2026-04-01 12:37:00,-0.04502
2026-04-01 12:38:00,-0.05035
2026-04-01 12:39:00,-0.044209
2026-04-01 12:40:00,-0.02675
2026-04-01 12:41:00,-0.024509
2026-04-01 12:42:00,-0.019733
2026-04-01 12:43:00,-0.020705
2026-04-01 12:44:00,-0.0078205
2026-04-01 12:45:00,-0.021298
2026-04-01 12:46:00,-0.029636
2026-04-01 12:47:00,-0.036313
2026-04-01 12:48:00,-0.023087
2026-04-01 12:49:00,-0.021373
2026-04-01 12:50:00,-0.019387
2026-04-01 12:51:00,-0.022295
2026-04-01 12:52:00,-0.0091781
2026-04-01 12:53:00,-0.011493
2026-04-01 12:54:00,-0.0061421
2026-04-01 12:55:00,-0.0055881
2026-04-01 12:56:00,0.0035016
2026-04-01 12:57:00,0.00011698
2026-04-01 12:58:00,0.01786
2026-04-01 12:59:00,0.026223
2026-04-01 13:00:00,0.021765
2026-04-01 13:01:00,0.034197
2026-04-01 13:02:00,0.053036
2026-04-01 13:03:00,0.048946
2026-04-01 13:04:00,0.052016
2026-04-01 13:05:00,0.050019
2026-04-01 13:06:00,0.042643
2026-04-01 13:07:00,0.030463
2026-04-01 13:08:00,0.01869
2026-04-01 13:09:00,0.010878
2026-04-01 13:10:00,0.006351
2026-04-01 13:11:00,0.00083898
2026-04-01 13:12:00,-0.0080718
2026-04-01 13:13:00,-0.0075909
2026-04-01 13:14:00,-0.0053236
2026-04-01 13:15:00,-0.0036758
2026-04-01 13:16:00,-0.0024025
2026-04-01 13:17:00,0.00078716
2026-04-01 13:18:00,0.0017886
2026-04-01 13:19:00,0.002752
2026-04-01 13:20:00,0.002643
2026-04-01 13:21:00,0.00106
