time_utc,amp_m
2026-04-01 12:00:00,-0.00068022
2026-04-01 12:01:00,-0.00068873
2026-04-01 12:02:00,-0.00071538
2026-04-01 12:03:00,-0.00076085
2026-04-01 12:04:00,-0.00082638
2026-04-01 12:05:00,-0.0009126
2026-04-01 12:06:00,-0.0010013
2026-04-01 12:07:00,-0.0011719
2026-04-01 12:08:00,-0.0013615
2026-04-01 12:09:00,-0.0015475
2026-04-01 12:10:00,-0.0018088
2026-04-01 12:11:00,-0.0021232
2026-04-01 12:12:00,-0.0025226
2026-04-01 12:13:00,-0.0030193
2026-04-01 12:14:00,-0.0036465
2026-04-01 12:15:00,-0.0044472
2026-04-01 12:16:00,-0.0054827
2026-04-01 12:17:00,-0.0068436
2026-04-01 12:18:00,-0.008634
2026-04-01 12:19:00,-0.010955
2026-04-01 12:20:00,-0.013791
2026-04-01 12:21:00,-0.016749
2026-04-01 12:22:00,-0.018657
2026-04-01 12:23:00,-0.017607
2026-04-01 12:24:00,-0.01228
2026-04-01 12:25:00,-0.0033348
2026-04-01 12:26:00,0.0073956
2026-04-01 12:27:00,0.018509
2026-04-01 12:28:00,0.029537
2026-04-01 12:29:00,0.040968
2026-04-01 12:30:00,0.054776
2026-04-01 12:31:00,0.068126
2026-04-01 12:32:00,0.054699
2026-04-01 12:33:00,0.031895
2026-04-01 12:34:00,0.019035
2026-04-01 12:35:00,0.0057226
2026-04-01 12:36:00,-0.0076694
2026-04-01 12:37:00,-0.0202
2026-04-01 12:38:00,-0.0259
2026-04-01 12:39:00,-0.013289
2026-04-01 12:40:00,-0.0027103
2026-04-01 12:41:00,0.0026355
2026-04-01 12:42:00,0.0032497
2026-04-01 12:43:00,-0.0032176
2026-04-01 12:44:00,-0.0019844
2026-04-01 12:45:00,0.00032702
2026-04-01 12:46:00,-0.00078749
2026-04-01 12:47:00,0.003814
2026-04-01 12:48:00,0.0035098
2026-04-01 12:49:00,0.0024858
2026-04-01 12:50:00,0.0010349
2026-04-01 12:51:00,-5.3528e-05
2026-04-01 12:52:00,0.00039738
2026-04-01 12:53:00,-0.00086902
2026-04-01 12:54:00,-0.00088852
2026-04-01 12:55:00,-0.0010272
2026-04-01 12:56:00,-0.00066579
2026-04-01 12:57:00,-0.0016525
2026-04-01 12:58:00,-0.0022803
2026-04-01 12:59:00,-0.0023804
