 -0.20718E-02   0.0000       0.0000       0.0000       0.0000       0.0000    
 -0.20718E-02 -0.18371E-06 -0.35825E-07   0.0000       0.0000       0.0000    
 -0.20718E-02 -0.55114E-06 -0.10747E-06   0.0000       0.0000       0.0000    
 -0.20718E-02 -0.91857E-06 -0.17911E-06   0.0000       0.0000       0.0000    
 -0.20718E-02 -0.12860E-05 -0.25074E-06   0.0000       0.0000       0.0000    
 -0.20717E-02 -0.16534E-05 -0.32237E-06   0.0000       0.0000       0.0000    
 -0.20717E-02 -0.20208E-05 -0.39399E-06   0.0000       0.0000       0.0000    
 -0.20716E-02 -0.23882E-05 -0.46562E-06   0.0000       0.0000       0.0000    
 -0.20716E-02 -0.27556E-05 -0.53726E-06   0.0000       0.0000       0.0000    
 -0.20715E-02 -0.31229E-05 -0.60889E-06   0.0000       0.0000       0.0000    
 -0.20714E-02 -0.34902E-05 -0.68054E-06   0.0000       0.0000       0.0000    
 -0.20714E-02 -0.38575E-05 -0.75220E-06   0.0000       0.0000       0.0000    
 -0.20713E-02 -0.42248E-05 -0.82387E-06   0.0000       0.0000       0.0000    
 -0.20712E-02 -0.45921E-05 -0.89556E-06   0.0000       0.0000       0.0000    
 -0.20711E-02 -0.49593E-05 -0.96727E-06   0.0000       0.0000       0.0000    
 -0.20710E-02 -0.53264E-05 -0.10390E-05   0.0000       0.0000       0.0000    
 -0.20708E-02 -0.56936E-05 -0.11108E-05   0.0000       0.0000       0.0000    
 -0.20707E-02 -0.60606E-05 -0.11825E-05   0.0000       0.0000       0.0000    
 -0.20706E-02 -0.64277E-05 -0.12544E-05   0.0000       0.0000       0.0000    
 -0.20704E-02 -0.67947E-05 -0.13262E-05   0.0000       0.0000       0.0000    
 -0.20703E-02 -0.71616E-05 -0.13981E-05   0.0000       0.0000       0.0000    
 -0.20701E-02 -0.75285E-05 -0.14700E-05   0.0000       0.0000       0.0000    
 -0.20699E-02 -0.78953E-05 -0.15419E-05   0.0000       0.0000       0.0000    
 -0.20698E-02 -0.82621E-05 -0.16139E-05   0.0000       0.0000       0.0000    
 -0.20696E-02 -0.86287E-05 -0.16860E-05   0.0000       0.0000       0.0000    
 -0.20694E-02 -0.89954E-05 -0.17581E-05   0.0000       0.0000       0.0000    
 -0.20692E-02 -0.93619E-05 -0.18302E-05   0.0000       0.0000       0.0000    
 -0.20690E-02 -0.97284E-05 -0.19024E-05   0.0000       0.0000       0.0000    
 -0.20687E-02 -0.10095E-04 -0.19746E-05   0.0000       0.0000       0.0000    
 -0.20685E-02 -0.10461E-04 -0.20469E-05   0.0000       0.0000       0.0000    
 -0.20683E-02 -0.10827E-04 -0.21193E-05   0.0000       0.0000       0.0000    
 -0.20680E-02 -0.11194E-04 -0.21917E-05   0.0000       0.0000       0.0000    
 -0.20678E-02 -0.11560E-04 -0.22642E-05   0.0000       0.0000       0.0000    
 -0.20675E-02 -0.11926E-04 -0.23367E-05   0.0000       0.0000       0.0000    
 -0.20672E-02 -0.12291E-04 -0.24094E-05   0.0000       0.0000       0.0000    
 -0.20670E-02 -0.12657E-04 -0.24821E-05   0.0000       0.0000       0.0000    
 -0.20667E-02 -0.13023E-04 -0.25548E-05   0.0000       0.0000       0.0000    
 -0.20664E-02 -0.13388E-04 -0.26277E-05   0.0000       0.0000       0.0000    
 -0.20661E-02 -0.13754E-04 -0.27006E-05   0.0000       0.0000       0.0000    
 -0.20658E-02 -0.14119E-04 -0.27736E-05   0.0000       0.0000       0.0000    
 -0.20655E-02 -0.14484E-04 -0.28467E-05   0.0000       0.0000       0.0000    
 -0.20651E-02 -0.14850E-04 -0.29199E-05   0.0000       0.0000       0.0000    
 -0.20648E-02 -0.15215E-04 -0.29932E-05   0.0000       0.0000       0.0000    
 -0.20645E-02 -0.15579E-04 -0.30666E-05   0.0000       0.0000       0.0000    
 -0.20641E-02 -0.15944E-04 -0.31401E-05   0.0000       0.0000       0.0000    
 -0.20637E-02 -0.16309E-04 -0.32137E-05   0.0000       0.0000       0.0000    
 -0.20634E-02 -0.16673E-04 -0.32874E-05   0.0000       0.0000       0.0000    
 -0.20630E-02 -0.17038E-04 -0.33612E-05   0.0000       0.0000       0.0000    
 -0.20626E-02 -0.17402E-04 -0.34352E-05   0.0000       0.0000       0.0000    
 -0.20622E-02 -0.17766E-04 -0.35094E-05   0.0000       0.0000       0.0000    
 -0.20618E-02 -0.18130E-04 -0.35838E-05   0.0000       0.0000       0.0000    
 -0.20614E-02 -0.18494E-04 -0.36584E-05   0.0000       0.0000       0.0000    
 -0.20610E-02 -0.18857E-04 -0.37332E-05   0.0000       0.0000       0.0000    
 -0.20605E-02 -0.19221E-04 -0.38083E-05   0.0000       0.0000       0.0000    
 -0.20601E-02 -0.19584E-04 -0.38837E-05   0.0000       0.0000       0.0000    
 -0.20596E-02 -0.19947E-04 -0.39593E-05   0.0000       0.0000       0.0000    
 -0.20592E-02 -0.20310E-04 -0.40353E-05   0.0000       0.0000       0.0000    
 -0.20587E-02 -0.20673E-04 -0.41115E-05   0.0000       0.0000       0.0000    
 -0.20582E-02 -0.21035E-04 -0.41879E-05   0.0000       0.0000       0.0000    
 -0.20577E-02 -0.21398E-04 -0.42644E-05   0.0000       0.0000       0.0000    
