 -0.68022E-03   0.0000       0.0000       0.0000       0.0000       0.0000    
 -0.68022E-03  0.16152E-07  0.25695E-06   0.0000       0.0000       0.0000    
 -0.68027E-03  0.48452E-07  0.77086E-06   0.0000       0.0000       0.0000    
 -0.68036E-03  0.80734E-07  0.12848E-05   0.0000       0.0000       0.0000    
 -0.68049E-03  0.11298E-06  0.17988E-05   0.0000       0.0000       0.0000    
 -0.68067E-03  0.14518E-06  0.23129E-05   0.0000       0.0000       0.0000    
 -0.68089E-03  0.17730E-06  0.28270E-05   0.0000       0.0000       0.0000    
 -0.68116E-03  0.20933E-06  0.33413E-05   0.0000       0.0000       0.0000    
 -0.68147E-03  0.24126E-06  0.38557E-05   0.0000       0.0000       0.0000    
 -0.68183E-03  0.27306E-06  0.43702E-05   0.0000       0.0000       0.0000    
 -0.68223E-03  0.30472E-06  0.48850E-05   0.0000       0.0000       0.0000    
 -0.68268E-03  0.33622E-06  0.53999E-05   0.0000       0.0000       0.0000    
 -0.68317E-03  0.36753E-06  0.59150E-05   0.0000       0.0000       0.0000    
 -0.68371E-03  0.39865E-06  0.64304E-05   0.0000       0.0000       0.0000    
 -0.68429E-03  0.42956E-06  0.69460E-05   0.0000       0.0000       0.0000    
 -0.68492E-03  0.46023E-06  0.74620E-05   0.0000       0.0000       0.0000    
 -0.68559E-03  0.49065E-06  0.79782E-05   0.0000       0.0000       0.0000    
 -0.68631E-03  0.52080E-06  0.84947E-05   0.0000       0.0000       0.0000    
 -0.68707E-03  0.55066E-06  0.90116E-05   0.0000       0.0000       0.0000    
 -0.68788E-03  0.58021E-06  0.95288E-05   0.0000       0.0000       0.0000    
 -0.68873E-03  0.60944E-06  0.10046E-04   0.0000       0.0000       0.0000    
 -0.68963E-03  0.63833E-06  0.10564E-04   0.0000       0.0000       0.0000    
 -0.69057E-03  0.66686E-06  0.11083E-04   0.0000       0.0000       0.0000    
 -0.69156E-03  0.69500E-06  0.11602E-04   0.0000       0.0000       0.0000    
 -0.69260E-03  0.72275E-06  0.12121E-04   0.0000       0.0000       0.0000    
 -0.69367E-03  0.75008E-06  0.12641E-04   0.0000       0.0000       0.0000    
 -0.69480E-03  0.77698E-06  0.13161E-04   0.0000       0.0000       0.0000    
 -0.69597E-03  0.80342E-06  0.13682E-04   0.0000       0.0000       0.0000    
 -0.69719E-03  0.82939E-06  0.14204E-04   0.0000       0.0000       0.0000    
 -0.69845E-03  0.85487E-06  0.14726E-04   0.0000       0.0000       0.0000    
 -0.69976E-03  0.87984E-06  0.15248E-04   0.0000       0.0000       0.0000    
 -0.70111E-03  0.90428E-06  0.15772E-04   0.0000       0.0000       0.0000    
 -0.70251E-03  0.92818E-06  0.16295E-04   0.0000       0.0000       0.0000    
 -0.70396E-03  0.95151E-06  0.16820E-04   0.0000       0.0000       0.0000    
 -0.70545E-03  0.97425E-06  0.17345E-04   0.0000       0.0000       0.0000    
 -0.70699E-03  0.99639E-06  0.17871E-04   0.0000       0.0000       0.0000    
 -0.70857E-03  0.10179E-05  0.18398E-04   0.0000       0.0000       0.0000    
 -0.71020E-03  0.10388E-05  0.18925E-04   0.0000       0.0000       0.0000    
 -0.71188E-03  0.10590E-05  0.19453E-04   0.0000       0.0000       0.0000    
 -0.71361E-03  0.10785E-05  0.19982E-04   0.0000       0.0000       0.0000    
 -0.71538E-03  0.10974E-05  0.20512E-04   0.0000       0.0000       0.0000    
 -0.71720E-03  0.11155E-05  0.21042E-04   0.0000       0.0000       0.0000    
 -0.71906E-03  0.11328E-05  0.21574E-04   0.0000       0.0000       0.0000    
 -0.72098E-03  0.11495E-05  0.22106E-04   0.0000       0.0000       0.0000    
 -0.72294E-03  0.11653E-05  0.22639E-04   0.0000       0.0000       0.0000    
 -0.72494E-03  0.11803E-05  0.23174E-04   0.0000       0.0000       0.0000    
 -0.72700E-03  0.11946E-05  0.23709E-04   0.0000       0.0000       0.0000    
 -0.72910E-03  0.12079E-05  0.24245E-04   0.0000       0.0000       0.0000    
 -0.73125E-03  0.12205E-05  0.24782E-04   0.0000       0.0000       0.0000    
 -0.73345E-03  0.12321E-05  0.25320E-04   0.0000       0.0000       0.0000    
 -0.73570E-03  0.12429E-05  0.25859E-04   0.0000       0.0000       0.0000    
 -0.73799E-03  0.12527E-05  0.26399E-04   0.0000       0.0000       0.0000    
 -0.74034E-03  0.12616E-05  0.26941E-04   0.0000       0.0000       0.0000    
 -0.74273E-03  0.12695E-05  0.27483E-04   0.0000       0.0000       0.0000    
 -0.74517E-03  0.12765E-05  0.28026E-04   0.0000       0.0000       0.0000    
 -0.74766E-03  0.12824E-05  0.28571E-04   0.0000       0.0000       0.0000    
 -0.75020E-03  0.12874E-05  0.29117E-04   0.0000       0.0000       0.0000    
 -0.75279E-03  0.12913E-05  0.29664E-04   0.0000       0.0000       0.0000    
 -0.75543E-03  0.12941E-05  0.30212E-04   0.0000       0.0000       0.0000    
 -0.75812E-03  0.12958E-05  0.30762E-04   0.0000       0.0000       0.0000    
 -0.76085E-03  0.12965E-05  0.31313E-04   0.0000       0.0000       0.0000    
 -0.76364E-03  0.12960E-05  0.31865E-04   0.0000       0.0000       0.0000    
 -0.76648E-03  0.12944E-05  0.32418E-04   0.0000       0.0000       0.0000    
 -0.76937E-03  0.12915E-05  0.32973E-04   0.0000       0.0000       0.0000    
 -0.77231E-03  0.12875E-05  0.33530E-04   0.0000       0.0000       0.0000    
 -0.77530E-03  0.12823E-05  0.34087E-04   0.0000       0.0000       0.0000    
 -0.77834E-03  0.12759E-05  0.34646E-04   0.0000       0.0000       0.0000    
 -0.78143E-03  0.12682E-05  0.35207E-04   0.0000       0.0000       0.0000    
 -0.78457E-03  0.12592E-05  0.35769E-04   0.0000       0.0000       0.0000    
 -0.78777E-03  0.12489E-05  0.36332E-04   0.0000       0.0000       0.0000    
 -0.79101E-03  0.12373E-05  0.36897E-04   0.0000       0.0000       0.0000    
 -0.79431E-03  0.12243E-05  0.37464E-04   0.0000       0.0000       0.0000    
 -0.79766E-03  0.12100E-05  0.38032E-04   0.0000       0.0000       0.0000    
 -0.80107E-03  0.11943E-05  0.38602E-04   0.0000       0.0000       0.0000    
 -0.80452E-03  0.11771E-05  0.39173E-04   0.0000       0.0000       0.0000    
 -0.80803E-03  0.11585E-05  0.39746E-04   0.0000       0.0000       0.0000    
 -0.81159E-03  0.11385E-05  0.40321E-04   0.0000       0.0000       0.0000    
 -0.81521E-03  0.11170E-05  0.40898E-04   0.0000       0.0000       0.0000    
 -0.81888E-03  0.10939E-05  0.41476E-04   0.0000       0.0000       0.0000    
 -0.82260E-03  0.10693E-05  0.42056E-04   0.0000       0.0000       0.0000    
 -0.82638E-03  0.10432E-05  0.42638E-04   0.0000       0.0000       0.0000    
 -0.83021E-03  0.10155E-05  0.43222E-04   0.0000       0.0000       0.0000    
 -0.83410E-03  0.98622E-06  0.43808E-04   0.0000       0.0000       0.0000    
 -0.83804E-03  0.95531E-06  0.44395E-04   0.0000       0.0000       0.0000    
 -0.84203E-03  0.92277E-06  0.44985E-04   0.0000       0.0000       0.0000    
 -0.84608E-03  0.88858E-06  0.45577E-04   0.0000       0.0000       0.0000    
 -0.85018E-03  0.85272E-06  0.46171E-04   0.0000       0.0000       0.0000    
 -0.85434E-03  0.81520E-06  0.46767E-04   0.0000       0.0000       0.0000    
 -0.85855E-03  0.77600E-06  0.47365E-04   0.0000       0.0000       0.0000    
 -0.86281E-03  0.73512E-06  0.47966E-04   0.0000       0.0000       0.0000    
 -0.86713E-03  0.69257E-06  0.48569E-04   0.0000       0.0000       0.0000    
 -0.87149E-03  0.64837E-06  0.49175E-04   0.0000       0.0000       0.0000    
 -0.87591E-03  0.60253E-06  0.49785E-04   0.0000       0.0000       0.0000    
 -0.88037E-03  0.55508E-06  0.50397E-04   0.0000       0.0000       0.0000    
 -0.88487E-03  0.50609E-06  0.51012E-04   0.0000       0.0000       0.0000    
 -0.88942E-03  0.45559E-06  0.51632E-04   0.0000       0.0000       0.0000    
 -0.89400E-03  0.40367E-06  0.52255E-04   0.0000       0.0000       0.0000    
 -0.89861E-03  0.35042E-06  0.52883E-04   0.0000       0.0000       0.0000    
 -0.90326E-03  0.29594E-06  0.53516E-04   0.0000       0.0000       0.0000    
 -0.90792E-03  0.24035E-06  0.54154E-04   0.0000       0.0000       0.0000    
 -0.91260E-03  0.18379E-06  0.54798E-04   0.0000       0.0000       0.0000    
 -0.91729E-03  0.12642E-06  0.55449E-04   0.0000       0.0000       0.0000    
 -0.92197E-03  0.68405E-07  0.56107E-04   0.0000       0.0000       0.0000    
 -0.92665E-03  0.99224E-08  0.56773E-04   0.0000       0.0000       0.0000    
 -0.93131E-03 -0.48846E-07  0.57447E-04   0.0000       0.0000       0.0000    
 -0.93594E-03 -0.10772E-06  0.58130E-04   0.0000       0.0000       0.0000    
 -0.94053E-03 -0.16653E-06  0.58824E-04   0.0000       0.0000       0.0000    
 -0.94508E-03 -0.22513E-06  0.59527E-04   0.0000       0.0000       0.0000    
 -0.94958E-03 -0.28339E-06  0.60241E-04   0.0000       0.0000       0.0000    
 -0.95402E-03 -0.34124E-06  0.60967E-04   0.0000       0.0000       0.0000    
 -0.95841E-03 -0.39867E-06  0.61703E-04   0.0000       0.0000       0.0000    
 -0.96273E-03 -0.45572E-06  0.62451E-04   0.0000       0.0000       0.0000    
 -0.96700E-03 -0.51253E-06  0.63210E-04   0.0000       0.0000       0.0000    
 -0.97123E-03 -0.56935E-06  0.63978E-04   0.0000       0.0000       0.0000    
 -0.97542E-03 -0.62652E-06  0.64756E-04   0.0000       0.0000       0.0000    
 -0.97960E-03 -0.68451E-06  0.65541E-04   0.0000       0.0000       0.0000    
